n_workers,n_threads,n_partitions,load_time,rotation_time,mapping_time,compute_time,total_time
1,1,16,12.622148752212524,0.024579763412475586,0.0012979507446289062,9.392995119094849,22.041171550750732
1,2,16,5.858342409133911,0.01933884620666504,0.0007138252258300781,11.882715702056885,17.761449337005615
1,3,16,8.360105276107788,0.019726991653442383,0.0008683204650878906,11.14072585105896,19.52176070213318
1,4,16,7.344430208206177,0.020369529724121094,0.001018524169921875,13.788155317306519,21.15412139892578
1,5,16,8.579433917999268,0.0197908878326416,0.0011682510375976562,13.682976007461548,22.283539295196533
1,6,16,7.58633828163147,0.019031047821044922,0.0012154579162597656,14.015840768814087,21.622611045837402
1,7,16,7.498708724975586,0.02083730697631836,0.001384735107421875,13.672901630401611,21.19408917427063
1,8,16,8.505226612091064,0.01992321014404297,0.0011010169982910156,13.364691257476807,21.891067028045654
2,1,16,7.407600164413452,0.01995539665222168,0.0007112026214599609,5.628363132476807,13.056777238845825
2,2,16,7.686376571655273,0.019375085830688477,0.0007174015045166016,6.821987628936768,14.528576374053955
2,3,16,7.768940448760986,0.01921820640563965,0.0005488395690917969,6.768298149108887,14.557185411453247
2,4,16,8.886394262313843,0.019844770431518555,0.0012552738189697266,6.639678001403809,15.547828674316406
2,5,16,8.064181804656982,0.019973039627075195,0.0008866786956787109,7.242967128753662,15.330299615859985
2,6,16,7.932952642440796,0.02001357078552246,0.0017900466918945312,7.17959451675415,15.134503364562988
2,7,16,8.909745931625366,0.019324779510498047,0.0011098384857177734,6.6846935749053955,15.616106510162354
2,8,16,7.619976282119751,0.019618511199951172,0.0007038116455078125,6.450389385223389,14.090835809707642
3,1,16,7.791336297988892,0.019314050674438477,0.0006570816040039062,4.592838287353516,12.404279708862305
3,2,16,7.99089503288269,0.019818544387817383,0.0007741451263427734,6.852739572525024,14.86452317237854
3,3,16,7.733556747436523,0.02071976661682129,0.005101680755615234,6.834756135940552,14.594275712966919
3,4,16,9.088112354278564,0.020009279251098633,0.0014841556549072266,7.01831841468811,16.128122091293335
3,5,16,9.293916702270508,0.020505428314208984,0.0007274150848388672,7.128016471862793,16.443349599838257
3,6,16,7.431444883346558,0.019032001495361328,0.0006825923919677734,7.106109380722046,14.557452917098999
3,7,16,7.987619876861572,0.019260644912719727,0.0006501674652099609,6.869240760803223,14.876903772354126
3,8,16,8.265394687652588,0.021111011505126953,0.0011706352233886719,7.260092496871948,15.54796028137207
4,1,16,9.803607702255249,0.0210568904876709,0.0011050701141357422,3.806580066680908,13.63344120979309
4,2,16,8.795418500900269,0.02100849151611328,0.0015935897827148438,3.7324535846710205,12.550641775131226
4,3,16,7.6043877601623535,0.019827842712402344,0.000728607177734375,3.7511119842529297,11.376219987869263
4,4,16,7.79587721824646,0.019482851028442383,0.0007145404815673828,3.7839298248291016,11.600327491760254
4,5,16,9.90213394165039,0.02185821533203125,0.0008065700531005859,3.842320680618286,13.767984867095947
4,6,16,7.961455583572388,0.01984572410583496,0.0007522106170654297,3.6389732360839844,11.621188879013062
4,7,16,7.989745616912842,0.019605159759521484,0.0005342960357666016,3.764119863510132,11.774136543273926
4,8,16,8.07401967048645,0.02018427848815918,0.0012691020965576172,3.819338083267212,11.914985656738281
5,1,16,8.715985774993896,0.019756793975830078,0.0007581710815429688,4.458528995513916,13.195333480834961
5,2,16,7.959706783294678,0.020013809204101562,0.0015816688537597656,4.389734506607056,12.371223211288452
5,3,16,8.406188249588013,0.018944263458251953,0.0006515979766845703,4.668987512588501,13.0949866771698
5,4,16,7.905133247375488,0.01965641975402832,0.0008211135864257812,4.401767015457153,12.327551364898682
5,5,16,7.991180896759033,0.02158641815185547,0.0006716251373291016,4.384576797485352,12.39819622039795
5,6,16,8.836952447891235,0.02047872543334961,0.001188039779663086,4.522801399230957,13.381583452224731
5,7,16,7.493260622024536,0.019580602645874023,0.0008230209350585938,4.394594669342041,11.908412456512451
5,8,16,7.5287840366363525,0.020357370376586914,0.0014052391052246094,4.4113359451293945,11.96201491355896
6,1,16,8.058594942092896,0.01923680305480957,0.0007326602935791016,3.7901623249053955,11.868920803070068
6,2,16,7.178501605987549,0.019852876663208008,0.0007801055908203125,5.082872152328491,12.284627914428711
6,3,16,8.213643074035645,0.01932382583618164,0.0008962154388427734,4.888298034667969,13.122300386428833
6,4,16,9.108232021331787,0.019844770431518555,0.0008192062377929688,5.044037580490112,14.173047542572021
6,5,16,7.754157304763794,0.020325899124145508,0.0011227130889892578,5.162893772125244,12.93869161605835
6,6,16,7.727771520614624,0.019606828689575195,0.0012786388397216797,5.112674951553345,12.861535787582397
6,7,16,9.03733491897583,0.019962549209594727,0.0008447170257568359,5.0472142696380615,14.105504512786865
6,8,16,7.541393041610718,0.019572734832763672,0.0012009143829345703,5.007462024688721,12.56973910331726
7,1,16,7.198487997055054,0.019154071807861328,0.0005884170532226562,4.378044366836548,11.596619606018066
7,2,16,7.751086950302124,0.019123315811157227,0.0009472370147705078,5.460760831832886,13.232154369354248
7,3,16,7.638256311416626,0.019671201705932617,0.0006849765777587891,5.401257038116455,13.060045719146729
7,4,16,7.245988845825195,0.020303964614868164,0.0012683868408203125,5.676543951034546,12.94425654411316
7,5,16,9.211955785751343,0.02092576026916504,0.0008263587951660156,5.79023551940918,15.024107933044434
7,6,16,7.711398601531982,0.020174026489257812,0.001323699951171875,5.698979139328003,13.432036399841309
7,7,16,7.219742059707642,0.02077031135559082,0.0006849765777587891,5.512279272079468,12.753617763519287
7,8,16,8.296733379364014,0.019349098205566406,0.0007297992706298828,5.5994484424591064,13.91637921333313
8,1,16,7.242733478546143,0.019887208938598633,0.000576019287109375,3.693573236465454,10.956892490386963
8,2,16,7.700624227523804,0.01973414421081543,0.0009202957153320312,6.279726266860962,14.001132488250732
8,3,16,8.256719827651978,0.020067930221557617,0.0008792877197265625,6.518322229385376,14.79617953300476
8,4,16,7.771787166595459,0.020617008209228516,0.0014619827270507812,6.299166917800903,14.09317660331726
8,5,16,7.557117462158203,0.019452571868896484,0.0006983280181884766,6.394506931304932,13.972607135772705
8,6,16,8.141534566879272,0.019579410552978516,0.0007336139678955078,6.2040228843688965,14.366021394729614
8,7,16,7.032311201095581,0.019359111785888672,0.0006897449493408203,6.166170597076416,13.21867322921753
8,8,16,8.1192307472229,0.02052617073059082,0.0015680789947509766,6.2874486446380615,14.428940773010254
